scenario,date,start_interval,end_interval_exclusive,time_range,amount_kwh
problem2,2025-03-23,50,60,08:20-10:00,1658.669656172009
problem2,2025-03-23,122,127,20:20-21:10,957.225663271776
problem2,2025-03-23,128,131,21:20-21:50,62.77669050771449
problem2,2025-03-30,50,57,08:20-09:30,1054.1347866333413
problem2,2025-03-30,121,125,20:10-20:50,1698.489322731535
problem2,2025-03-30,127,131,21:10-21:50,44.96797143629194
problem2,2025-04-01,122,125,20:20-20:50,759.6859233157768
problem2,2025-04-02,51,62,08:30-10:20,1935.4046713437174
problem2,2025-04-06,55,56,09:10-09:20,4.949880444031283
problem2,2025-04-06,123,131,20:30-21:50,738.2027381901754
problem2,2025-04-08,54,58,09:00-09:40,106.737274169066
problem2,2025-04-08,123,125,20:30-20:50,29.870296144699296
problem2,2025-04-08,127,128,21:10-21:20,1.6099544545487792
problem2,2025-04-09,122,126,20:20-21:00,1372.111283987338
problem2,2025-04-13,121,129,20:10-21:30,2343.0750188282946
problem2,2025-04-13,130,131,21:40-21:50,7.144423513797255
problem2,2025-04-20,121,126,20:10-21:00,1482.1621239122842
problem2,2025-04-20,128,130,21:20-21:40,21.125304531695587
problem2,2025-04-27,48,55,08:00-09:10,1197.3849244979654
problem2,2025-04-27,121,124,20:10-20:40,1608.8110479578802
problem2,2025-04-27,125,130,20:50-21:40,83.392733837173
problem2,2025-04-28,118,126,19:40-21:00,4171.822125966072
problem2,2025-04-29,123,124,20:30-20:40,18.230421524747953
problem2,2025-05-01,122,131,20:20-21:50,1965.6559188996898
problem2,2025-05-03,124,125,20:40-20:50,135.98624289317303
problem2,2025-05-03,126,131,21:00-21:50,211.40001974532
problem2,2025-05-04,112,113,18:40-18:50,5.9969500000000835
problem2,2025-05-04,121,131,20:10-21:50,2689.1797192393637
problem2,2025-05-05,121,129,20:10-21:30,1797.7055782288735
problem2,2025-05-06,123,126,20:30-21:00,614.6318932576486
problem2,2025-05-06,127,131,21:10-21:50,125.85514817996557
problem2,2025-05-07,122,125,20:20-20:50,1649.6811522692726
problem2,2025-05-07,126,129,21:00-21:30,92.95224379011059
problem2,2025-05-08,120,122,20:00-20:20,82.43748333333338
problem2,2025-05-08,123,124,20:30-20:40,224.61130713579382
problem2,2025-05-08,130,131,21:40-21:50,36.88074791410886
problem2,2025-05-11,115,131,19:10-21:50,5036.119860314826
problem2,2025-05-12,123,126,20:30-21:00,328.60971305484986
problem2,2025-05-13,123,124,20:30-20:40,123.7312333333324
problem2,2025-05-13,126,128,21:00-21:20,13.624692946563368
problem2,2025-05-14,123,125,20:30-20:50,53.10792821314567
problem2,2025-05-18,119,125,19:50-20:50,3530.312096459576
problem2,2025-05-18,126,131,21:00-21:50,200.84136550092055
problem2,2025-05-19,122,123,20:20-20:30,67.00333333333344
problem2,2025-05-20,123,125,20:30-20:50,182.56097905091497
problem2,2025-05-25,123,127,20:30-21:10,704.9430614695669
problem2,2025-05-25,130,131,21:40-21:50,29.115617468459913
problem2,2025-05-29,115,116,19:10-19:20,17.817433333333497
problem2,2025-06-01,53,70,08:50-11:40,2543.0404001377383
problem2,2025-06-01,71,72,11:50-12:00,20.337860833333526
problem2,2025-06-01,88,131,14:40-21:50,14218.188220552373
problem2,2025-06-02,54,57,09:00-09:30,367.7483967812001
problem2,2025-06-02,115,131,19:10-21:50,5484.719107843312
problem2,2025-06-03,53,62,08:50-10:20,1097.769151242382
problem2,2025-06-03,113,115,18:50-19:10,62.622994180400156
problem2,2025-06-03,117,119,19:30-19:50,149.77470542624133
problem2,2025-06-03,120,124,20:00-20:40,2777.81534545589
problem2,2025-06-03,125,131,20:50-21:50,192.70368910475887
problem2,2025-06-04,56,60,09:20-10:00,82.4565008432559
problem2,2025-06-04,113,116,18:50-19:20,102.70778400585766
problem2,2025-06-04,118,125,19:40-20:50,3549.356987919639
problem2,2025-06-04,126,130,21:00-21:40,111.77848535101415
problem2,2025-06-05,52,60,08:40-10:00,972.7352088774053
problem2,2025-06-05,113,117,18:50-19:30,210.71301607430462
problem2,2025-06-05,118,126,19:40-21:00,2940.762891466748
problem2,2025-06-08,113,121,18:50-20:10,487.51804224584646
problem2,2025-06-08,122,131,20:20-21:50,1749.0726672869941
problem2,2025-06-09,113,114,18:50-19:00,22.476014444007774
problem2,2025-06-09,116,120,19:20-20:00,33.486568298821226
problem2,2025-06-09,122,124,20:20-20:40,1678.6237549809757
problem2,2025-06-10,114,116,19:00-19:20,26.168729016689213
problem2,2025-06-11,56,65,09:20-10:50,1611.3031670751109
problem2,2025-06-11,113,117,18:50-19:30,50.321470683406005
problem2,2025-06-11,120,125,20:00-20:50,1919.6781969552558
problem2,2025-06-12,119,120,19:50-20:00,14.207778347774138
problem2,2025-06-15,62,66,10:20-11:00,240.54772184080548
problem2,2025-06-15,116,124,19:20-20:40,5083.592617811209
problem2,2025-06-15,127,131,21:10-21:50,226.28638232358247
problem2,2025-06-16,115,117,19:10-19:30,9.819698583168474
problem2,2025-06-16,119,121,19:50-20:10,30.375715370122293
problem2,2025-06-17,116,117,19:20-19:30,17.268606401415127
problem2,2025-06-17,122,124,20:20-20:40,38.258660229384645
problem2,2025-06-19,114,117,19:00-19:30,72.41485122455288
problem2,2025-06-22,116,120,19:20-20:00,127.23355211340993
problem2,2025-06-22,122,128,20:20-21:20,956.5355521205894
problem2,2025-06-24,57,65,09:30-10:50,1764.4331221127181
problem2,2025-06-26,114,115,19:00-19:10,9.65181628504979
problem2,2025-06-29,57,61,09:30-10:10,175.4581672588213
problem2,2025-07-01,113,121,18:50-20:10,378.5126647916551
problem2,2025-07-01,122,131,20:20-21:50,695.679177863856
problem2,2025-07-02,113,117,18:50-19:30,218.92104819722965
problem2,2025-07-02,118,121,19:40-20:10,170.4023538239038
problem2,2025-07-02,122,127,20:20-21:10,256.5411121036442
problem2,2025-07-03,55,63,09:10-10:30,820.4332483300456
problem2,2025-07-03,113,114,18:50-19:00,38.42829864174735
problem2,2025-07-03,117,119,19:30-19:50,39.3657866524419
problem2,2025-07-03,122,125,20:20-20:50,882.7062272831892
problem2,2025-07-03,126,131,21:00-21:50,285.28479984871035
problem2,2025-07-06,49,58,08:10-09:40,1918.1192163031976
problem2,2025-07-06,59,61,09:50-10:10,195.78462166666685
problem2,2025-07-06,113,131,18:50-21:50,9994.893460766969
problem2,2025-07-07,114,116,19:00-19:20,53.90574948734468
problem2,2025-07-07,117,121,19:30-20:10,89.94074563371998
problem2,2025-07-07,122,124,20:20-20:40,12.976966061157214
problem2,2025-07-07,127,131,21:10-21:50,95.8034137688614
problem2,2025-07-08,113,114,18:50-19:00,53.94008587742337
problem2,2025-07-08,117,118,19:30-19:40,2.8276823814783256
problem2,2025-07-08,120,121,20:00-20:10,0.6588743747770422
problem2,2025-07-08,122,124,20:20-20:40,381.73266048958
problem2,2025-07-09,116,118,19:20-19:40,45.35808922590968
problem2,2025-07-10,113,116,18:50-19:20,98.65745611602881
problem2,2025-07-10,122,123,20:20-20:30,39.973033828418124
problem2,2025-07-13,113,131,18:50-21:50,4049.5943577024436
problem2,2025-07-14,113,114,18:50-19:00,44.236854755452896
problem2,2025-07-14,117,119,19:30-19:50,42.431790605081915
problem2,2025-07-14,120,121,20:00-20:10,2.3288363932504126
problem2,2025-07-16,120,121,20:00-20:10,33.880816088912525
problem2,2025-07-20,113,126,18:50-21:00,6693.00134276459
problem2,2025-07-20,127,131,21:10-21:50,189.3383737004974
problem2,2025-07-22,119,121,19:50-20:10,11.783891994406758
problem2,2025-07-27,53,57,08:50-09:30,664.8701380851895
problem2,2025-07-27,113,114,18:50-19:00,8.21332290008877
problem2,2025-07-27,115,118,19:10-19:40,43.094835075188485
problem2,2025-07-27,119,124,19:50-20:40,3324.3886118568385
problem2,2025-08-03,114,120,19:00-20:00,180.42577377203418
problem2,2025-08-07,120,121,20:00-20:10,3.5106137122135124
problem2,2025-08-10,120,121,20:00-20:10,4.563050459598685
problem2,2025-08-10,122,126,20:20-21:00,1257.9627205950528
problem2,2025-08-11,116,117,19:20-19:30,28.482625107801027
problem2,2025-08-12,114,116,19:00-19:20,8.129500201853716
problem2,2025-08-13,123,124,20:30-20:40,23.78518246362171
problem2,2025-08-14,113,115,18:50-19:10,23.42252202094653
problem2,2025-08-14,123,124,20:30-20:40,15.07547633756974
problem2,2025-08-17,114,119,19:00-19:50,273.64571671719443
problem2,2025-08-17,122,124,20:20-20:40,809.427896539578
problem2,2025-08-17,130,131,21:40-21:50,25.616716657539293
problem2,2025-08-18,114,115,19:00-19:10,15.424190045455703
problem2,2025-08-18,119,120,19:50-20:00,38.398459136490715
problem2,2025-08-18,122,124,20:20-20:40,48.3840135446178
problem2,2025-08-19,116,119,19:20-19:50,102.20532700356739
problem2,2025-08-19,120,121,20:00-20:10,30.382330544118872
problem2,2025-08-20,53,57,08:50-09:30,477.0065959881392
problem2,2025-08-20,115,116,19:10-19:20,0.19538223088534323
problem2,2025-08-20,119,121,19:50-20:10,44.495245881892515
problem2,2025-08-20,122,124,20:20-20:40,1496.7075816869478
problem2,2025-08-20,125,126,20:50-21:00,19.589864209836104
problem2,2025-08-21,122,123,20:20-20:30,19.116396936897218
problem2,2025-08-24,113,114,18:50-19:00,26.274008423035866
problem2,2025-08-24,117,130,19:30-21:40,2452.0994789935457
problem2,2025-08-25,115,117,19:10-19:30,28.274837548055643
problem2,2025-08-25,120,124,20:00-20:40,2092.36751288628
problem2,2025-08-26,118,120,19:40-20:00,13.496319060433962
problem2,2025-08-27,113,114,18:50-19:00,22.981176869210003
problem2,2025-08-27,116,117,19:20-19:30,22.088297148254583
problem2,2025-08-27,119,120,19:50-20:00,5.870696368154199
problem2,2025-08-28,113,114,18:50-19:00,33.778471546091396
problem2,2025-08-28,119,121,19:50-20:10,36.6808442916564
problem2,2025-08-28,122,124,20:20-20:40,995.9527953627279
problem2,2025-08-31,47,54,07:50-09:00,1037.0881981595978
problem2,2025-08-31,113,125,18:50-20:50,4652.191379383273
problem2,2025-09-07,47,55,07:50-09:10,1734.8035523886683
problem2,2025-09-07,121,124,20:10-20:40,2087.9795491456757
problem2,2025-09-07,126,128,21:00-21:20,57.05738678844679
problem2,2025-09-08,123,124,20:30-20:40,431.98462054044023
problem2,2025-09-10,52,58,08:40-09:40,803.6810379019034
problem2,2025-09-10,122,124,20:20-20:40,1364.5652197500797
problem2,2025-09-14,43,56,07:10-09:20,3438.1730677267856
problem2,2025-09-14,115,131,19:10-21:50,7054.037540346304
problem2,2025-09-15,118,119,19:40-19:50,1.1717666666667128
problem2,2025-09-16,115,116,19:10-19:20,8.238266666666732
problem2,2025-09-16,123,125,20:30-20:50,64.33813071903228
problem2,2025-09-17,35,36,05:50-06:00,7.62916666666672
problem2,2025-09-17,56,58,09:20-09:40,81.89797849406871
problem2,2025-09-17,59,60,09:50-10:00,1.820590666666794
problem2,2025-09-18,123,124,20:30-20:40,2.4633999999999787
problem2,2025-09-18,129,130,21:30-21:40,10.130230306534962
problem2,2025-09-21,48,53,08:00-08:50,970.9098361956492
problem2,2025-09-21,117,131,19:30-21:50,5527.205662204593
problem2,2025-09-22,118,120,19:40-20:00,19.555900000000065
problem2,2025-09-22,123,124,20:30-20:40,79.84719549146473
problem2,2025-09-22,127,131,21:10-21:50,91.93136052855095
problem2,2025-09-23,122,127,20:20-21:10,572.6541060806662
problem2,2025-09-23,128,129,21:20-21:30,3.793471851778918
problem2,2025-09-24,56,58,09:20-09:40,28.325007482845965
problem2,2025-09-25,113,114,18:50-19:00,15.37166666666667
problem2,2025-09-25,126,129,21:00-21:30,51.36727052836727
problem2,2025-09-28,48,59,08:00-09:50,2538.314723580227
problem2,2025-09-28,116,117,19:20-19:30,5.868333333333339
problem2,2025-09-28,118,131,19:40-21:50,4477.414111507369
problem2,2025-09-29,36,37,06:00-06:10,20.39463333333333
problem2,2025-09-29,123,125,20:30-20:50,343.73931637142334
problem2,2025-09-30,56,58,09:20-09:40,110.41435525083611
problem2,2025-09-30,60,61,10:00-10:10,3.8029135000000895
problem2,2025-09-30,120,121,20:00-20:10,31.411150000000134
problem2,2025-09-30,123,128,20:30-21:20,751.131181683611
problem2,2025-10-05,49,56,08:10-09:20,1097.6838539464459
problem2,2025-10-05,123,124,20:30-20:40,308.6402556271402
problem2,2025-10-05,127,129,21:10-21:30,61.63406324708071
problem2,2025-10-12,36,37,06:00-06:10,20.929933333333338
problem2,2025-10-12,50,56,08:20-09:20,1008.5705850359298
problem2,2025-10-12,121,124,20:10-20:40,2037.4383577002295
problem2,2025-10-12,126,131,21:00-21:50,65.11965922599725
problem2,2025-10-14,55,58,09:10-09:40,224.4174478765745
problem2,2025-10-15,123,124,20:30-20:40,66.74262234598041
problem2,2025-10-16,122,124,20:20-20:40,1084.3159529743857
problem2,2025-10-19,49,58,08:10-09:40,1981.274531158161
problem2,2025-10-19,118,131,19:40-21:50,4378.535480066126
problem2,2025-10-20,56,61,09:20-10:10,447.3021736270991
problem2,2025-10-22,57,62,09:30-10:20,637.9438472760803
problem2,2025-10-22,123,126,20:30-21:00,118.03156404401784
problem2,2025-10-22,130,131,21:40-21:50,10.420177466709287
problem2,2025-10-26,53,59,08:50-09:50,628.5071857238571
problem2,2025-10-26,121,131,20:10-21:50,1780.8788942798428
problem2,2025-10-27,36,37,06:00-06:10,15.890929132416204
problem2,2025-10-27,123,124,20:30-20:40,320.68001705442845
problem2,2025-10-29,59,63,09:50-10:30,273.69423140331094
problem2,2025-10-29,121,129,20:10-21:30,1695.177015976988
problem2,2025-10-30,36,37,06:00-06:10,3.641833333333352
problem2,2025-10-30,123,126,20:30-21:00,126.72731462365573
problem2,2025-10-30,128,131,21:20-21:50,55.75470217521274
problem2,2025-11-02,53,61,08:50-10:10,1573.0316671275436
problem2,2025-11-02,121,131,20:10-21:50,2310.826268001851
problem2,2025-11-04,35,37,05:50-06:10,33.599550000000136
problem2,2025-11-04,123,124,20:30-20:40,346.5662158718001
problem2,2025-11-04,126,128,21:00-21:20,58.56890888965752
problem2,2025-11-06,58,64,09:40-10:40,632.9574522453721
problem2,2025-11-06,127,131,21:10-21:50,94.29032041155544
problem2,2025-11-09,56,62,09:20-10:20,618.0522723820832
problem2,2025-11-09,120,131,20:00-21:50,2592.4102429867307
problem2,2025-11-10,123,124,20:30-20:40,122.15798056309586
problem2,2025-11-10,125,126,20:50-21:00,16.283629560915482
problem2,2025-11-10,130,131,21:40-21:50,21.058088783737436
problem2,2025-11-12,123,124,20:30-20:40,23.076747852648282
problem2,2025-11-13,123,124,20:30-20:40,81.26142659302411
problem2,2025-11-16,60,65,10:00-10:50,603.7449027772122
problem2,2025-11-16,121,125,20:10-20:50,1991.2193608970445
problem2,2025-11-16,127,130,21:10-21:40,76.74673806969709
problem2,2025-11-19,35,36,05:50-06:00,1.3850000000001046
problem2,2025-11-23,59,65,09:50-10:50,1013.6203437019813
problem2,2025-11-23,123,129,20:30-21:30,848.9844241329474
problem2,2025-11-24,36,37,06:00-06:10,18.83966666666663
problem2,2025-11-24,123,126,20:30-21:00,4.256417050230084
problem2,2025-11-26,36,37,06:00-06:10,32.99316666666664
problem2,2025-11-30,36,37,06:00-06:10,6.062833333333515
problem2,2025-11-30,60,65,10:00-10:50,515.8714269103372
problem2,2025-11-30,120,124,20:00-20:40,2474.571198871997
problem2,2025-11-30,128,131,21:20-21:50,107.4384341932207
problem2,2025-12-01,36,37,06:00-06:10,89.72379915089186
problem2,2025-12-01,47,49,07:50-08:10,113.36543333333316
problem2,2025-12-01,54,65,09:00-10:50,3856.9027768554683
problem2,2025-12-01,123,124,20:30-20:40,335.20880783826834
problem2,2025-12-02,36,37,06:00-06:10,68.53434167822115
problem2,2025-12-02,47,50,07:50-08:20,173.89789266476544
problem2,2025-12-02,55,65,09:10-10:50,3567.142706685136
problem2,2025-12-02,122,125,20:20-20:50,977.9705638083376
problem2,2025-12-02,128,131,21:20-21:50,37.55628206900237
problem2,2025-12-03,47,49,07:50-08:10,47.89181203380713
problem2,2025-12-03,58,64,09:40-10:40,1262.7372952481842
problem2,2025-12-03,123,124,20:30-20:40,388.5350389335283
problem2,2025-12-03,126,127,21:00-21:10,0.35305351165477505
problem2,2025-12-04,48,50,08:00-08:20,108.65656309564997
problem2,2025-12-04,56,65,09:20-10:50,2641.2804269277067
problem2,2025-12-04,123,125,20:30-20:50,122.94666354460367
problem2,2025-12-07,36,37,06:00-06:10,55.054800000000114
problem2,2025-12-07,47,49,07:50-08:10,164.7132833333335
problem2,2025-12-07,55,65,09:10-10:50,3302.1908961183794
problem2,2025-12-07,118,126,19:40-21:00,3983.311361027814
problem2,2025-12-07,128,131,21:20-21:50,119.61155944697214
problem2,2025-12-09,47,50,07:50-08:20,138.38569225205845
problem2,2025-12-09,123,124,20:30-20:40,160.65266105067872
problem2,2025-12-09,126,128,21:00-21:20,25.466916148025554
problem2,2025-12-14,36,37,06:00-06:10,54.564363825236796
problem2,2025-12-14,47,49,07:50-08:10,87.21601666666663
problem2,2025-12-14,56,65,09:20-10:50,2872.8272596846473
problem2,2025-12-14,118,131,19:40-21:50,4390.3530266134185
problem2,2025-12-15,47,48,07:50-08:00,4.2083267739176335
problem2,2025-12-21,47,49,07:50-08:10,90.81919855656281
problem2,2025-12-21,60,65,10:00-10:50,1351.592622436563
problem2,2025-12-21,119,131,19:50-21:50,3289.5640666933405
problem2,2025-12-28,47,50,07:50-08:20,140.3975697617551
problem2,2025-12-28,122,131,20:20-21:50,1177.0506332639643
problem3,2025-02-06,48,49,08:00-08:10,21.052866666666773
problem3,2025-02-07,124,131,20:40-21:50,1311.9916114121006
problem3,2025-02-08,124,125,20:40-20:50,3.038050000001533
problem3,2025-02-11,36,37,06:00-06:10,18.02044683273857
problem3,2025-02-11,62,64,10:20-10:40,60.82075158149242
problem3,2025-02-12,36,37,06:00-06:10,2.377683831572199
problem3,2025-02-14,124,131,20:40-21:50,1309.6231534135961
problem3,2025-02-15,126,131,21:00-21:50,271.6986017990707
problem3,2025-02-16,35,37,05:50-06:10,86.17759041630859
problem3,2025-02-16,38,39,06:20-06:30,33.261748682398434
problem3,2025-02-16,59,65,09:50-10:50,1002.0013562055005
problem3,2025-02-17,36,37,06:00-06:10,0.28882968619984695
problem3,2025-02-18,36,37,06:00-06:10,8.790000487613497
problem3,2025-02-18,38,39,06:20-06:30,1.0389171678335742
problem3,2025-02-19,37,39,06:10-06:30,56.20950347218934
problem3,2025-02-19,60,64,10:00-10:40,143.6248599296284
problem3,2025-02-20,36,37,06:00-06:10,28.132351197352364
problem3,2025-02-21,125,131,20:50-21:50,843.3158738664308
problem3,2025-02-22,129,131,21:30-21:50,119.4669014139287
problem3,2025-02-23,35,38,05:50-06:20,94.49600000000021
problem3,2025-02-23,60,64,10:00-10:40,301.4547223662486
problem3,2025-02-24,36,37,06:00-06:10,14.470338772603668
problem3,2025-02-25,35,39,05:50-06:30,70.44509347134738
problem3,2025-02-26,36,39,06:00-06:30,14.27206961248919
problem3,2025-02-28,126,131,21:00-21:50,1132.3885755650722
problem3,2025-03-01,124,129,20:40-21:30,181.93771998437708
problem3,2025-03-01,130,131,21:40-21:50,13.338041436782294
problem3,2025-03-05,35,36,05:50-06:00,3.286666666666747
problem3,2025-03-07,123,131,20:30-21:50,688.589432983121
problem3,2025-03-09,56,61,09:20-10:10,301.6785029582229
problem3,2025-03-11,56,57,09:20-09:30,2.327934722432337
problem3,2025-03-14,123,126,20:30-21:00,437.77768510824404
problem3,2025-03-14,129,131,21:30-21:50,46.70686658804841
problem3,2025-03-15,124,131,20:40-21:50,302.5660810234631
problem3,2025-03-16,35,36,05:50-06:00,1.6400000000001
problem3,2025-03-16,50,56,08:20-09:20,866.6674187272489
problem3,2025-03-17,53,56,08:50-09:20,115.83354999999786
problem3,2025-03-21,124,131,20:40-21:50,750.8856089282731
problem3,2025-03-27,55,58,09:10-09:40,162.20033488964407
problem3,2025-03-28,127,131,21:10-21:50,731.2573992541336
problem3,2025-03-30,53,57,08:50-09:30,268.18102835887464
problem3,2025-04-04,129,131,21:30-21:50,430.5460449392634
problem3,2025-04-06,54,56,09:00-09:20,35.40184012451029
problem3,2025-04-11,128,130,21:20-21:40,485.5032807437119
problem3,2025-04-18,129,131,21:30-21:50,429.423002850279
problem3,2025-04-25,129,131,21:30-21:50,178.71703775387377
problem3,2025-05-01,123,127,20:30-21:10,573.5508931435107
problem3,2025-05-01,128,129,21:20-21:30,5.079997146824939
problem3,2025-05-02,123,128,20:30-21:20,918.1180772739406
problem3,2025-05-02,129,131,21:30-21:50,120.45839352752691
problem3,2025-05-03,123,125,20:30-20:50,184.32031315394892
problem3,2025-05-03,126,131,21:00-21:50,199.52699500905
problem3,2025-05-08,120,121,20:00-20:10,35.999250000000075
problem3,2025-05-09,124,131,20:40-21:50,750.4663954189098
problem3,2025-05-10,124,127,20:40-21:10,87.29616480905912
problem3,2025-05-10,128,131,21:20-21:50,57.66647942253282
problem3,2025-05-11,116,117,19:20-19:30,9.942220460071212
problem3,2025-05-16,124,125,20:40-20:50,10.545059884728744
problem3,2025-05-16,126,131,21:00-21:50,909.2783797626425
problem3,2025-05-17,124,125,20:40-20:50,145.5740676408319
problem3,2025-05-19,122,123,20:20-20:30,66.47978457426177
problem3,2025-06-13,125,126,20:50-21:00,10.684643654837394
problem3,2025-06-15,61,65,10:10-10:50,313.91704364390966
problem3,2025-06-19,116,117,19:20-19:30,3.4920469451540157
problem3,2025-06-20,125,131,20:50-21:50,175.37982314587245
problem3,2025-07-04,123,124,20:30-20:40,37.962903147684074
problem3,2025-07-04,125,127,20:50-21:10,43.46358377633633
problem3,2025-07-04,130,131,21:40-21:50,7.506843019155827
problem3,2025-07-11,123,131,20:30-21:50,814.9162688767261
problem3,2025-07-18,123,124,20:30-20:40,648.7598386827623
problem3,2025-07-18,126,131,21:00-21:50,184.16646686903658
problem3,2025-07-25,123,124,20:30-20:40,563.1468980517452
problem3,2025-07-25,126,131,21:00-21:50,211.69935037287817
problem3,2025-08-03,50,53,08:20-08:50,211.9255312042527
problem3,2025-08-07,120,121,20:00-20:10,8.120223821427658
problem3,2025-08-08,123,126,20:30-21:00,88.62531717734157
problem3,2025-08-11,116,117,19:20-19:30,30.39627913070956
problem3,2025-08-13,123,124,20:30-20:40,19.5864315821525
problem3,2025-08-15,123,125,20:30-20:50,115.12392057451109
problem3,2025-08-15,127,131,21:10-21:50,171.08717081565942
problem3,2025-08-16,123,124,20:30-20:40,421.0711573703003
problem3,2025-08-16,126,127,21:00-21:10,2.3510517162008444
problem3,2025-08-16,130,131,21:40-21:50,9.95277405704378
problem3,2025-08-18,114,115,19:00-19:10,13.354906785143157
problem3,2025-08-18,119,120,19:50-20:00,36.358245092817356
problem3,2025-08-18,122,124,20:20-20:40,44.30357668505064
problem3,2025-08-19,116,121,19:20-20:10,174.40350633058927
problem3,2025-08-21,117,119,19:30-19:50,15.032193496343552
problem3,2025-08-21,122,126,20:20-21:00,39.246821365536746
problem3,2025-08-22,123,131,20:30-21:50,829.8993039012324
problem3,2025-08-23,123,125,20:30-20:50,100.30840347608535
problem3,2025-08-23,128,131,21:20-21:50,170.98251466685116
problem3,2025-08-24,52,55,08:40-09:10,295.1734043716377
problem3,2025-08-25,115,117,19:10-19:30,34.00614021912338
problem3,2025-08-27,113,115,18:50-19:10,33.23297004163817
problem3,2025-08-27,116,117,19:20-19:30,30.369767225237297
problem3,2025-08-27,119,120,19:50-20:00,14.152166445136913
problem3,2025-08-28,113,114,18:50-19:00,30.994124943480756
problem3,2025-08-28,119,121,19:50-20:10,31.112512163622796
problem3,2025-08-29,123,129,20:30-21:30,824.6229836200652
problem3,2025-08-29,130,131,21:40-21:50,30.556273520932997
problem3,2025-08-31,48,54,08:00-09:00,708.8270469663844
problem3,2025-09-01,114,116,19:00-19:20,14.124650000000088
problem3,2025-09-03,113,114,18:50-19:00,11.02166666666676
problem3,2025-09-04,117,119,19:30-19:50,34.93371666666678
problem3,2025-09-05,123,131,20:30-21:50,1586.3091903016848
problem3,2025-09-06,124,131,20:40-21:50,261.0603331225601
problem3,2025-09-07,48,55,08:00-09:10,1154.566608006066
problem3,2025-09-10,54,58,09:00-09:40,300.87600066423977
problem3,2025-09-11,119,120,19:50-20:00,6.071666666666715
problem3,2025-09-12,123,131,20:30-21:50,2004.1402900252972
problem3,2025-09-13,124,127,20:40-21:10,292.4190787768839
problem3,2025-09-13,128,131,21:20-21:50,78.95701260291412
problem3,2025-09-14,53,56,08:50-09:20,272.65243725855584
problem3,2025-09-15,50,56,08:20-09:20,653.0166490130237
problem3,2025-09-15,118,119,19:40-19:50,1.1717666666667128
problem3,2025-09-15,123,124,20:30-20:40,17.191684128404404
problem3,2025-09-16,115,116,19:10-19:20,4.864423566977393
problem3,2025-09-17,35,36,05:50-06:00,7.62916666666672
problem3,2025-09-18,123,126,20:30-21:00,26.100086950092145
problem3,2025-09-18,129,131,21:30-21:50,25.233859092229363
problem3,2025-09-19,123,131,20:30-21:50,1540.4902274551375
problem3,2025-09-20,123,126,20:30-21:00,632.4579812183704
problem3,2025-09-21,51,53,08:30-08:50,116.56530963063723
problem3,2025-09-22,118,120,19:40-20:00,19.555900000000065
problem3,2025-09-23,122,123,20:20-20:30,6.375
problem3,2025-09-25,113,114,18:50-19:00,15.37166666666667
problem3,2025-09-26,123,131,20:30-21:50,1953.637162376967
